Enabled,Device,Brand,Carrier,Storage Capacity,Category,Condition,Price,Sort Order
false,iPhone 5c,Apple,AT&T,8GB,Cell Phone,Brand New,0.0,3199
false,iPhone 5c,Apple,AT&T,8GB,Cell Phone,Flawless,0.0,3200
false,iPhone 5c,Apple,AT&T,8GB,Cell Phone,Good,0.0,3201
false,iPhone 5c,Apple,AT&T,8GB,Cell Phone,Fair,0.0,3202
false,iPhone 5c,Apple,AT&T,8GB,Cell Phone,Minor Damage,0.0,3203
false,iPhone 5c,Apple,AT&T,8GB,Cell Phone,Broken,0.0,3204
false,iPhone 5c,Apple,T-Mobile,8GB,Cell Phone,Brand New,0.0,3205
false,iPhone 5c,Apple,T-Mobile,8GB,Cell Phone,Flawless,0.0,3206
false,iPhone 5c,Apple,T-Mobile,8GB,Cell Phone,Good,0.0,3207
false,iPhone 5c,Apple,T-Mobile,8GB,Cell Phone,Fair,0.0,3208
false,iPhone 5c,Apple,T-Mobile,8GB,Cell Phone,Minor Damage,0.0,3209
false,iPhone 5c,Apple,T-Mobile,8GB,Cell Phone,Broken,0.0,3210
false,iPhone 5c,Apple,Verizon,8GB,Cell Phone,Brand New,0.0,3211
false,iPhone 5c,Apple,Verizon,8GB,Cell Phone,Flawless,0.0,3212
false,iPhone 5c,Apple,Verizon,8GB,Cell Phone,Good,0.0,3213
false,iPhone 5c,Apple,Verizon,8GB,Cell Phone,Fair,0.0,3214
false,iPhone 5c,Apple,Verizon,8GB,Cell Phone,Minor Damage,0.0,3215
false,iPhone 5c,Apple,Verizon,8GB,Cell Phone,Broken,0.0,3216
false,iPhone 5c,Apple,Other,8GB,Cell Phone,Brand New,0.0,3217
false,iPhone 5c,Apple,Other,8GB,Cell Phone,Flawless,0.0,3218
false,iPhone 5c,Apple,Other,8GB,Cell Phone,Good,0.0,3219
false,iPhone 5c,Apple,Other,8GB,Cell Phone,Fair,0.0,3220
false,iPhone 5c,Apple,Other,8GB,Cell Phone,Minor Damage,0.0,3221
false,iPhone 5c,Apple,Other,8GB,Cell Phone,Broken,0.0,3222
false,iPhone 5c,Apple,Unlocked,8GB,Cell Phone,Brand New,0.0,3223
false,iPhone 5c,Apple,Unlocked,8GB,Cell Phone,Flawless,0.0,3224
false,iPhone 5c,Apple,Unlocked,8GB,Cell Phone,Good,0.0,3225
false,iPhone 5c,Apple,Unlocked,8GB,Cell Phone,Fair,0.0,3226
false,iPhone 5c,Apple,Unlocked,8GB,Cell Phone,Minor Damage,0.0,3227
false,iPhone 5c,Apple,Unlocked,8GB,Cell Phone,Broken,0.0,3228
false,iPhone 5c,Apple,AT&T,16GB,Cell Phone,Brand New,0.0,3229
false,iPhone 5c,Apple,AT&T,16GB,Cell Phone,Flawless,0.0,3230
false,iPhone 5c,Apple,AT&T,16GB,Cell Phone,Good,0.0,3231
false,iPhone 5c,Apple,AT&T,16GB,Cell Phone,Fair,0.0,3232
false,iPhone 5c,Apple,AT&T,16GB,Cell Phone,Minor Damage,0.0,3233
false,iPhone 5c,Apple,AT&T,16GB,Cell Phone,Broken,0.0,3234
false,iPhone 5c,Apple,T-Mobile,16GB,Cell Phone,Brand New,0.0,3235
