partner_ref,product,carrier,memory,storage,processor,price_new,price_mint,price_good,price_fair,price_broken,url
,apple-series-7-gps,aluminum,,41mm,,,55.0,30.0,15.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
,apple-series-7-gps,stainless-steel,,41mm,,,60.0,35.0,20.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
,apple-series-7-gps,titanium,,41mm,,,65.0,40.0,20.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
,apple-series-7-gps,aluminum,,45mm,,,60.0,25.0,10.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
,apple-series-7-gps,stainless-steel,,45mm,,,70.0,45.0,30.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
,apple-series-7-gps,titanium,,45mm,,,75.0,50.0,35.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
,apple-series-7-gps-cellular,aluminum,,41mm,,,65.0,25.0,10.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
,apple-series-7-gps-cellular,stainless-steel,,41mm,,,70.0,45.0,20.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
,apple-series-7-gps-cellular,titanium,,41mm,,,55.0,30.0,15.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
,apple-series-7-gps-cellular,aluminum,,45mm,,,70.0,30.0,20.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
,apple-series-7-gps-cellular,stainless-steel,,45mm,,,80.0,55.0,30.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
,apple-series-7-gps-cellular,titanium,,45mm,,,80.0,55.0,30.0,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
,apple-watch-se-gps-2nd-gen,aluminum,,40mm,,,20.0,10.0,5.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-2nd-gen
,apple-watch-se-gps-2nd-gen,aluminum,,44mm,,,25.0,15.0,10.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-2nd-gen
,apple-watch-se-gps-plus-cellular-2nd-gen,aluminum,,40mm,,,25.0,15.0,10.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-2nd-gen
,apple-watch-se-gps-plus-cellular-2nd-gen,aluminum,,44mm,,,30.0,20.0,10.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-2nd-gen
,apple-watch-se-gps-3rd-gen,aluminum,,40mm,,,60.0,40.0,15.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-3rd-gen
,apple-watch-se-gps-3rd-gen,aluminum,,44mm,,,70.0,50.0,25.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-3rd-gen
,apple-watch-se-gps-plus-cellular-3rd-gen,aluminum,,40mm,,,70.0,50.0,25.0,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-3rd-gen
