id,model_id,carrier,storage
1,1,AT&T,8GB
2,1,T-Mobile,8GB
3,1,Verizon,8GB
4,1,Other,8GB
5,1,Unlocked,8GB
6,1,AT&T,16GB
7,1,T-Mobile,16GB
8,1,Verizon,16GB
9,1,Other,16GB
10,1,Unlocked,16GB
11,1,AT&T,32GB
12,1,T-Mobile,32GB
13,1,Verizon,32GB
14,1,Other,32GB
15,1,Unlocked,32GB
16,2,AT&T,16GB
17,2,T-Mobile,16GB
18,2,Verizon,16GB
19,2,Other,16GB
20,2,Unlocked,16GB
21,2,AT&T,32GB
22,2,T-Mobile,32GB
23,2,Verizon,32GB
24,2,Other,32GB
25,2,Unlocked,32GB
26,2,AT&T,64GB
27,2,T-Mobile,64GB
28,2,Verizon,64GB
29,2,Other,64GB
30,2,Unlocked,64GB
31,3,AT&T,16GB
32,3,T-Mobile,16GB
33,3,Verizon,16GB
34,3,Other,16GB
35,3,Unlocked,16GB
36,3,AT&T,32GB
37,3,T-Mobile,32GB
38,3,Verizon,32GB
39,3,Other,32GB
40,3,Unlocked,32GB
41,3,AT&T,64GB
42,3,T-Mobile,64GB
43,3,Verizon,64GB
44,3,Other,64GB
45,3,Unlocked,64GB
46,3,AT&T,128GB
47,3,T-Mobile,128GB
48,3,Verizon,128GB
49,3,Other,128GB
50,3,Unlocked,128GB
51,4,AT&T,16GB
52,4,T-Mobile,16GB
53,4,Verizon,16GB
54,4,Other,16GB
55,4,Unlocked,16GB
56,4,AT&T,32GB
57,4,T-Mobile,32GB
58,4,Verizon,32GB
59,4,Other,32GB
60,4,Unlocked,32GB
61,4,AT&T,64GB
62,4,T-Mobile,64GB
63,4,Verizon,64GB
64,4,Other,64GB
65,4,Unlocked,64GB
66,4,AT&T,128GB
67,4,T-Mobile,128GB
68,4,Verizon,128GB
69,4,Other,128GB
70,4,Unlocked,128GB
71,5,AT&T,16GB
72,5,T-Mobile,16GB
73,5,Verizon,16GB
74,5,Other,16GB
75,5,Unlocked,16GB
76,5,AT&T,32GB
77,5,T-Mobile,32GB
78,5,Verizon,32GB
79,5,Other,32GB
80,5,Unlocked,32GB
81,5,AT&T,64GB
82,5,T-Mobile,64GB
83,5,Verizon,64GB
84,5,Other,64GB
85,5,Unlocked,64GB
86,5,AT&T,128GB
87,5,T-Mobile,128GB
88,5,Verizon,128GB
89,5,Other,128GB
90,5,Unlocked,128GB
91,6,AT&T,16GB
92,6,T-Mobile,16GB
93,6,Verizon,16GB
94,6,Other,16GB
95,6,Unlocked,16GB
96,6,AT&T,32GB
97,6,T-Mobile,32GB
98,6,Verizon,32GB
99,6,Other,32GB
100,6,Unlocked,32GB
101,6,AT&T,64GB
102,6,T-Mobile,64GB
103,6,Verizon,64GB
104,6,Other,64GB
105,6,Unlocked,64GB
106,6,AT&T,128GB
107,6,T-Mobile,128GB
108,6,Verizon,128GB
109,6,Other,128GB
110,6,Unlocked,128GB
111,7,AT&T,16GB
112,7,T-Mobile,16GB
113,7,Verizon,16GB
114,7,Other,16GB
